ID;Дата и время создания;Дата последнего изменения;Код КПГЗ;Наименование КПГЗ;Вышестоящий КПГЗ;Описание;ОКПД;ОКПД-2;Код номенклатуры МЭР;Необходимость привязки к объекту городского хозяйства;Признак стандартизированной позиции;Требуется проведение государственной экспертизы;Относится к капитальному и текущему ремонту, благоустройству, устройству пешеходных зон, сносу и т.п.;Тип объекта городского хозяйства;Проект
3203643;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.12.13;PH-МЕТРЫ ЛАБОРАТОРНЫЕ, ИОНОМЕРЫ;01.02.05.01.12 ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ ОБЪЕМА И ГАЗОВОГО СОСТАВА ВЫДЫХАЕМОГО И ВДЫХАЕМОГО ВОЗДУХА И КРОВИ;Ph-метры лабораторные, иономеры. Данная позиция не имеет подчиненных позиций.;33.10.12.124;26.60.12.124;32.30.262;;Нет;;;;Нет
3205900;26.03.2016 00:00:00;26.03.2016 00:00:00;01.13.05.06.02;USB-НАКОПИТЕЛИ ТВЕРДОТЕЛЬНЫЕ (ФЛЕШ-ДРАЙВЫ);01.13.05.06 НАКОПИТЕЛИ ТВЕРДОТЕЛЬНЫЕ (ФЛЕШ-ДРАЙВЫ);usb-накопители твердотельные (флеш-драйвы). Данная позиция не имеет подчиненных позиций.;30.02.17.129;26.20.21.120;30.02.620;;Нет;;;;Нет
3205950;26.03.2016 00:00:00;26.03.2016 00:00:00;01.13.09.02.04;АБОНЕНТСКИЕ ВЫНОСЫ;01.13.09.02 ОБОРУДОВАНИЕ КАНАЛООБРАЗУЮЩЕЕ И КОММУТАЦИОННОЕ;Абонентские выносы. Данная позиция не имеет подчиненных позиций.;32.20.20.230;26.30.11.110;32.20.210;;Нет;;;;Нет
4251382;29.03.2014 00:00:00;08.09.2016 12:10:40;01.01.04.09;АБРИКОСЫ;01.01.04 ЯГОДЫ И КОНСЕРВЫ ИЗ ЯГОД, КРОМЕ ВАРЕНЬЯ И ДЖЕМОВ;Абрикосы. Данная позиция не имеет подчиненных позиций.;01.13.23.121;01.24.23.000;;;Нет;;;;Нет
13623968;20.07.2017 11:49:21;04.10.2017 17:38:33;01.12.01.24;АВТОБЕТОНОНАСОСЫ;01.12.01 СПЕЦТЕХНИКА ДЛЯ ДОРОЖНО-ТРАНСПОРТНОГО СТРОИТЕЛЬСТВА;Автобетононасосы. Данная позиция не имеет подчиненных позиций.;34.10.54.520;29.10.59.116;;Нет;Да;Нет;Нет;;Нет
12293997;26.03.2016 00:00:00;23.08.2017 16:56:15;01.09.01.02.08;АВТОБЕТОНОСМЕСИТЕЛИ;01.09.01.02 АВТОМОБИЛИ ГРУЗОВЫЕ;Автобетоносмесители. Данная позиция не имеет подчиненных позиций.;29.52.40.519;28.92.40.131;;Нет;Да;Нет;Нет;;Нет
14302362;23.11.2017 09:49:18;23.11.2017 09:49:18;01.09.01.08.01;АВТОБУСЫ;01.09.01.08 АВТОБУСЫ, ЭЛЕКТРОБУСЫ;Автобусы. Данная позиция не имеет подчиненных позиций.;34.10.3;29.10.30.110;;Нет;Нет;Нет;Нет;;Нет
3204940;29.03.2014 00:00:00;26.03.2016 00:00:00;01.04.03.03;АВТОБУСЫ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;01.04.03 ТРАНСПОРТ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;Автобусы для спасательных служб и служб гражданской обороны. Данная позиция не имеет подчиненных позиций.;34.10.30.339;29.10.30.110;34.10.730;;Нет;;;;Нет
14302217;08.09.2017 11:35:49;23.11.2017 09:43:21;01.09.01.08;АВТОБУСЫ, ЭЛЕКТРОБУСЫ;01.09.01 АВТОТРАНСПОРТНЫЕ СРЕДСТВА;Автобусы, электробусы. Данная позиция не имеет подчиненных позиций.;34.10.3;29.10.30.110;;Нет;Нет;Нет;Нет;;Нет
13623971;20.07.2017 11:54:05;04.10.2017 17:38:49;01.12.01.25;АВТОГУДРОНАТОРЫ;01.12.01 СПЕЦТЕХНИКА ДЛЯ ДОРОЖНО-ТРАНСПОРТНОГО СТРОИТЕЛЬСТВА;Автогудронаторы. Данная позиция не имеет подчиненных позиций.;34.10.54.910;29.10.59.114;;Нет;Да;Нет;Нет;;Нет
3205202;26.03.2016 00:00:00;26.03.2016 00:00:00;01.07.09.01.03;АВТОДРОМЫ, ДОРОГИ И КАРТИНГИ;01.07.09.01 АТТРАКЦИОНЫ;Автодромы, дороги и картинги. Данная позиция не имеет подчиненных позиций.;36.63.10.130;28.99.32.190;36.63.170;;Нет;;;;Нет
12294435;26.03.2016 00:00:00;23.08.2017 17:11:26;01.09.03.01;АВТОКРАНЫ;01.09.03 МАШИНЫ СПЕЦИАЛИЗИРОВАННЫЕ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;Автокраны. Данная позиция не имеет подчиненных позиций.;34.10.52.120;29.10.51.000;;Нет;Да;Нет;Нет;;Нет
12616551;15.12.2015 12:54:59;04.09.2017 12:51:12;01.04.03.01.01;АВТОЛЕСТНИЦЫ ПОЖАРНЫЕ;01.04.03.01 СПЕЦТЕХНИКА, АВТОМОБИЛИ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;Данная позиция не имеет подчиненных позиций;34.10.54.315;29.10.59.144;;Нет;Да;Нет;Нет;;Нет
3205803;29.03.2014 00:00:00;26.03.2016 00:00:00;01.13.01;АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА И СИСТЕМНЫЕ БЛОКИ;01.13 ТОВАРЫ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ, СРЕДСТВА СВЯЗИ, ОРГТЕХНИКА, ЭЛЕКТРОНИКА (ВКЛЮЧАЯ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ);В данную группировку входят: <br>- автоматизированные рабочие места стационарные<br>- автоматизированные рабочие места мобильные;30.02.15.210;26.20.15.000;36.63.000;;Нет;;;;Нет
3204184;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.19.21;АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА КОСМЕТОЛОГА;01.02.05.19 ПРОЧИЕ ПРИБОРЫ И АППАРАТЫ ДЛЯ ЛЕЧЕНИЯ;Автоматизированные рабочие места косметолога. Данная позиция не имеет подчиненных позиций.;33.10.15.519;26.60.13.190;33.10.270;;Нет;;;;Нет
3205812;29.03.2014 00:00:00;26.03.2016 00:00:00;01.13.01.02;АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА МОБИЛЬНЫЕ;01.13.01 АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА И СИСТЕМНЫЕ БЛОКИ;В данную группировку входят: <br>- ноутбуки<br>- субноутбуки<br>- нетбуки<br>- автоматизированные рабочие места мобильные промышленные и специализированные;30.02.1;26.20.1;30.0;;Нет;;;;Нет
3205804;29.03.2014 00:00:00;26.03.2016 00:00:00;01.13.01.01;АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА СТАЦИОНАРНЫЕ;01.13.01 АВТОМАТИЗИРОВАННЫЕ РАБОЧИЕ МЕСТА И СИСТЕМНЫЕ БЛОКИ;В данную группировку входят: <br>- арм стационарные модульные общего назначения<br>- арм стационарные модульные специализированные<br>- арм стационарные моноблочные<br>- арм стационарные неполнофункциональные (неттопы, тонкий клиент);30.02.15.211;26.20.15.000;30.02.311;;Нет;;;;Нет
3203871;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.15;АВТОМАТИЧЕСКИЕ БИОХИМИЧЕСКИЕ АНАЛИЗАТОРЫ (ФОТОМЕТРЫ);01.02.05.03 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ СОСТАВА И СВОЙСТВ БИОЛОГИЧЕСКИХ ЖИДКОСТЕЙ;Автоматические биохимические анализаторы (фотометры). Данная позиция не имеет подчиненных позиций.;33.20.53.311;26.51.53.190;33.10.210;;Нет;;;;Нет
3203840;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.08;АВТОМАТИЧЕСКИЕ БИОХИМИЧЕСКИЕ ДИСКРЕТНЫЕ МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Автоматические биохимические дискретные медицинские анализаторы. Данная позиция не имеет подчиненных позиций.;33.20.53.322;26.51.53.190;33.10.370;;Нет;;;;Нет
